20210708_0500,wt,70
20210708_0530,wt,71
20210708_0600,wt,70
20210708_0630,wt,71
20210708_0700,wt,70
20210708_0730,wt,71
20210708_0800,wt,70
20210708_0830,wt,71
20210708_0900,wt,70
20210708_0930,wt,71
20210708_1000,wt,70
20210708_1030,wt,70
20210708_1100,wt,71
20210708_1130,wt,70
20210708_1200,wt,71
20210708_1230,wt,70
20210708_1300,wt,71
20210708_1330,wt,70
20210708_1400,wt,71
20210708_1430,wt,70
20210708_1500,wt,71
20210708_1530,wt,70
20210708_1600,wt,71
20210708_1630,wt,70
20210708_1700,wt,70
20210708_1730,wt,70
20210708_1800,wt,70
20210708_1830,wt,70
20210708_1900,wt,70
20210708_1930,wt,70
20210708_2000,wt,70
20210708_2030,wt,70
20210708_2100,wt,70
20210708_2130,wt,70
20210708_2200,wt,71
